trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode,location_type
37.30482101,-121.88941193,Helium Mobile,0,20240127-00000,2024-01-27T18:00:00.000Z,2024-01-27T16:00:00.000Z,2024-01-27T17:00:00.000Z,60:81:F9:E9:67:57,,infra,,2,0,?,?,?,False,100,,wpa2,US,CA,Jansen Avenue,San Jose,823,95125,Residential
37.78488541,-122.45018768,Helium Mobile,0,20240321-00000,2024-03-21T01:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,60:81:F9:E9:67:97,,infra,,2,0,?,?,?,False,100,0,wpa2,US,CA,Collins Street,San Francisco,82;84,94118,Residential
37.78461456,-122.45013428,Helium Mobile,0,20240321-00000,2024-03-21T01:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,60:81:F9:E9:67:98,,infra,,2,0,?,?,?,False,9,0,wpa2,US,CA,Collins Street,San Francisco,82;84,94118,Residential
37.30482101,-121.88942719,Helium Mobile,2,20240127-00000,2024-01-27T18:00:00.000Z,2024-03-08T20:00:00.000Z,2024-03-08T23:00:00.000Z,62:81:F9:E9:67:57,,infra,,2,0,?,?,?,False,116,0,wpa2,US,CA,Jansen Avenue,San Jose,823,95125,Residential
37.78488541,-122.45018768,Helium Mobile,0,20240321-00000,2024-03-21T01:00:00.000Z,2024-03-21T00:00:00.000Z,2024-03-21T00:00:00.000Z,62:81:F9:E9:67:97,,infra,,2,0,?,?,?,False,100,0,wpa2,US,CA,Collins Street,San Francisco,82;84,94118,Residential
40.0193634,-105.27311707,Helium Mobile,6,20240425-00000,2024-04-26T02:00:00.000Z,2024-05-12T14:00:00.000Z,2024-05-12T16:00:00.000Z,64:97:14:00:CE:46,,infra,,2,0,?,?,?,False,6,0,wpa2,US,CO,Pearl Street,Boulder,,80306,Business
40.01939011,-105.27292633,Helium Mobile,6,20240423-00000,2024-04-24T02:00:00.000Z,2024-05-12T18:00:00.000Z,2024-05-12T20:00:00.000Z,64:97:14:00:CE:47,,infra,,2,0,?,?,?,False,56,0,wpa2,US,CO,Pearl Street,Boulder,1713,80306,Business
40.01930237,-105.27290344,Helium Mobile,2,20240511-00000,2024-05-11T03:00:00.000Z,2024-05-12T18:00:00.000Z,2024-05-12T20:00:00.000Z,74:97:8E:00:01:72,,infra,,2,0,?,?,?,False,52,0,wpa2,US,CO,Pearl Street,Boulder,1710,80306,Residential
33.71832275,-84.41236115,Helium Mobile,0,20240221-00000,2024-02-21T04:00:00.000Z,2024-02-21T01:00:00.000Z,2024-02-21T02:00:00.000Z,74:97:8E:00:02:52,,infra,,2,0,?,?,?,False,149,0,wpa2,US,GA,Dill Avenue Southwest,Atlanta,,30310-4446,Residential
40.00328064,-105.28668213,Helium Mobile,0,20240118-00000,2024-01-18T22:00:00.000Z,2024-01-18T14:00:00.000Z,2024-01-18T16:00:00.000Z,74:97:8E:00:02:C3,,infra,,2,0,?,?,?,False,1,,wpa2,US,CO,6th Street,Boulder,,80802,Residential
